OPENCONF ID,ICTP MANUSCRIPT NUMBER,PRESENTING AUTHOR,TITLE
272,1581,Jennifer Tenner,Numerical and experimental investigation of dry deep drawing of aluminium alloys with conventional and coated tool surfaces
273,1465,Rasim Askin Dilan,An Online Intelligent Algorithm Pipeline for the Elimination of Springback Effect During Sheet Metal Bending
276,1240,Yanshan Lou,J2-J3 based anisotropic yield function under spatial loading
278,1456,Aravind U,The effect of using rubber for applying counter force in fine blanking of AISI 304 Stainless Steel
279,1314,Bingtao Tang,Numerical modeling and experimental verification of ductile damage in Boron steel hot stamping process
282,1476,Binxian Yuan,A multi-deformable bodies solution method coupling finite element with meshless method in sheet metal flexible-die forming
283,1391,Ryo Matsumoto,Characterization of Surface Profile of Shot Peened Cemented Tungsten Carbide Dies with Micro Valleys and Their Lubrication Performance in Cold Forging
284,1477,Majid Elyasi,Experimental investigation of fracture in rubber pad forming of bipolar plate’s micro channels
285,1509,Yang Zhao,Influence of boron addition on microstructure and properties of a low-carbon cold rolled enamel steel
286,1457,Huiping Li,Analysis of phase transformation and blanking accuracy of B1500HS steel during hot blanking
287,1307,Ming-Jen Tan,Improving the mechanical properties of TIG welding Ti-6Al-4V by post weld heat treatment
288,1598,Hongwu Song,Force Analysis during cold Pilgering process for Zircaloy alloy tube by both experiments and 3D FE simulation
289,1214,Shigeru Nagasawa,Tensile characteristics of glass fiber based single face board
291,1302,Toshinaka Shinbutsu,Thread rolling and performance evaluations of a new anti-loosening double thread bolt combining a single thread and multiple threads
292,1255,Ali Fazli,Warm Electrohydraulic Forming: A novel high speed forming process
296,1288,Quang-Cherng Hsu,Optimizing Design of Two-dimensional Forging Preform by Bi-directional Evolutionary Structural Optimization Method
297,1516,Lei Zhao,Mechanism-based constitutive equations for superplastic forming of TA15 with equiaxed fine grain structure
298,1492,Lei Zhao,An optimized neck-spinning method for improving the inner surface quality of titanium domes
299,1445,Balasivanandha Prabu Shanmugavel,On the role of experimental variables in the Repetitive Corrugation and Straightening of an Al-Mg alloy
302,1367,Heng-Sheng Lin,Stacking with cylindrical spots in lamination of stamped electrical steel sheets
303,1285,Rong Shean Lee,Development of Knowledge-Expandable Ontology-Based Expert System for Process Planning in Cold Forging of Flange Nuts
304,1490,Marine Guillot,Shear forming of 304L stainless steel – microstructural aspects
305,1599,Andrij Milenin,Physical and Numerical Modelling of Laser Dieless Drawing Process of Tubes from Magnesium Alloy
306,1206,Georg Falkinger,Static recovery of an AlMg4.5Mn aluminium alloy during multi-pass hot-rolling
307,1469,Felix Bauer,Investigation of a process simulation method for flexible clamping of sheet metal parts
308,1248,Jing-Hua Zheng,Constitutive modelling of a T74 multi-step creep ageing behaviour of AA7050 and its application to stress relaxation ageing in age formed aluminium components
309,1530,Vikram Bedekar,In-situ Neutron Diffraction Analysis of Crystal Plasticity of Retained Austenite in Bearing Steel
310,1336,Masaaki Otsu,Improvement of Forming Limit and Accuracy in Friction Stir Incremental Forming with Multistage Forming
311,1521,Martin Rosenschon,Process-oriented validation of hardening models in a cyclic bending test
312,1221,Sebastian Müller,Plastic Deformability at Micro-Scale of Fiber-Reinforced Ceramics with Porous Matrix during Grinding
313,1337,Masato Okada,Development of optical-heating-assisted incremental forming method for CFRTP sheet - Fundamental forming characteristics in spot-forming.
314,1362,Vinzent Monnerjahn,Simultaneous forming and joining by linear flow splitting - From basic mechanisms to the continuous manufacturing line
315,1532,Markus Michalski,Compression testing of martensitic stainless steel with superimposed ultrasonic vibration
316,1517,Xifeng Li,Effect of grain size on the superplastic deformation behavior of Ti-55 alloy
318,1347,Sebastian Hensel,Process design for the shaping of sandwich sheets with sensor and actuator functionality
320,1204,Ehsan Ghassemali,Hall-Petch equation in a hypoeutectic Al-Si cast alloy: grain size vs. secondary dendrite arm spacing
324,1600,Olga Bylya,Modelling challenges for incremental bulk processes despite advances in simulation technology: example issues and approaches
326,1430,Hiroshi Utsunomiya,Formation of Roll Coating in Cold Rolling of Titanium Sheets
328,1279,Matthias Eder,Process-integrated compensation of geometrical deviations for bulk forming
330,1416,Ce Liang,Optimization of the UltraSTEEL dimpling forming process for energy absorption
332,1388,Yongquan Ning,The cliff-valley approach in the P-maps of PM/W joints for manufacturing the dual-alloys turbine disc
333,1447,Xinkai Ma,Effect of strain reversal on microstructure and mechanical properties of Ti-6Al-4V alloy under cyclic torsion deformation
334,1468,Takeshi Uemori,Theoretical predictions of fracture and springback for high tensile strength steel sheets under stretch bending
335,1309,Weijuan Li,Internal Friction Study of Aging Hardening and Kinetics in Low Carbon Steel
337,1380,Anees Al-Tamimi,Scaling of metal forming processes
338,1303,Guangchun Wang,Numerical Simulation and Experimental Investigation on the gear rolling process
339,1228,Yasuhiro Yogo,Stress-strain curve of pure aluminum in a super large strain range with strain rate and temperature dependency
340,1326,Tianjiao Liu,Experimental investigations for electric heating rotary stretch bending process of extruded Ti-6Al-4V Alloy profile with T-section
341,1245,Takayuki Hama,Time-dependent springback of a commercially pure titanium sheet
342,1503,Yazheng Liu,Investigation of forging process for eliminating delta ferrites in USC unites last stage blades steel 10Cr12Ni3Mo2VN
343,1601,Tsuyoshi Muraoka,Proposal of a numerical model using the finite element analysis of pilger rolling for improvement of computation precision and efficiency
344,1437,Yukio Takashima,Flange width alteration in universal rolling for production of T-bars with diverse section sizes
345,1422,Shinya Yamaguchi,Work roll shifting method by optimum calculation of work roll profile in hot strip rolling
346,1384,Bingchao Xie,Deformation behavior and microstructure evolution of two typical structures in Udimet 720Li ingot
347,1460,Yanxiong Liu,Investigation of a novel modified die design for fine-blanking process to reduce the die-roll size
348,1511,Jintao Li,The evolution of microtexture of pipeline steel from strip to bare pipe to coated pipe
350,1280,Pengfei Gao,"Formation mechanism, prediction and control of the forming defects in transitional region during local loading forming of Ti-alloy rib-web component"
351,1235,Baodong Shi,Thermodynamically consistent directional distortional hardening of Mg alloy: experiments and constitutive modeling
352,1563,Yi Meng,Effects of backwards thixo-extrusion on the microstructure and mechanical properties of Mg–8.20Gd–4.48Y–3.34Zn–0.36Zr alloy
353,1568,Xuemei Yang,Quantitative analysis of the effect of deformation temperature on microstructural evolution and mechanical property of  isothermally forged BT25y titanium alloy
354,1393,Suwat Jirathearanat,Successive Forming of Multi-thickness Plates by Using Wedge-shaped Tool
355,1535,Tomohiro Kamiura,Study on effect of strain rate on elongation in advanced high strength steel
357,1536,Amos Gilat,Full-Field Measurement of Strain and Temperature in Quasi-Static and Dynamic Tensile Tests on Stainless Steel 316L
358,1451,Shuyong Jiang,Mechanisms of nanocrystallization and amorphization of NiTiNb shape memory alloy subjected to severe plastic deformation
359,1452,Yanqiu Zhang,Plastic deformation mechanisms of NiTiFe shape memory alloy subjected to equal channel angular extrusion
360,1229,Shinobu Narita,Effect of Hardening Rule for Spring Back Behavior of Forging
361,1544,Xincun Zhuang,Parameter calibration of ductile fracture criterion considering computational efficiency and accuracy
362,1479,Cunsheng Zhang,Experimental and numerical investigations on transverse weld of hollow aluminum profile during porthole extrusion process
363,1566,Ali Mamedov,Investigation of Mechanical and Microstructural Properties of Ti-6Al-4V Alloy Depending on Hot Forging Process Parameters
364,1267,Xinbing Yun,Effect of Billet Preheating Temperature on Continuous Extrusion Forming of Al-Sr Alloy
365,1394,Takahiro Ohashi,Rib-Structures on A5083 Aluminum Alloy Sheet Generated by Friction Stir Forming
